epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,4534.68,0.91698,0.67171,1.11074,0.8363,0.70971,0.73811,0.41382,1.62673,0.82601,1.55793,0.0249934,0.00833114,0.0249934,0.00833114,0.0249934,0.00833114,0.0249934,0.00833114
61,4609.14,0.90926,0.65722,1.10664,0.84615,0.65882,0.7255,0.40926,1.58192,0.83527,1.53881,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
62,4683.77,0.91729,0.6699,1.11036,0.87692,0.70013,0.75086,0.41325,1.57962,0.80888,1.52456,0.0248237,0.00827457,0.0248237,0.00827457,0.0248237,0.00827457,0.0248237,0.00827457
63,4758.3,0.91182,0.66366,1.10887,0.87626,0.6705,0.73994,0.41431,1.57115,0.79803,1.53044,0.0247389,0.00824629,0.0247389,0.00824629,0.0247389,0.00824629,0.0247389,0.00824629
64,4832.8,0.90038,0.65924,1.10603,0.83932,0.68873,0.73126,0.4103,1.5501,0.79394,1.50308,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
65,4907.59,0.90723,0.65629,1.10023,0.84358,0.68454,0.747,0.4179,1.57068,0.80915,1.52489,0.0245691,0.00818971,0.0245691,0.00818971,0.0245691,0.00818971,0.0245691,0.00818971
66,4982.1,0.90452,0.6553,1.10012,0.83761,0.71733,0.74542,0.42263,1.55234,0.79857,1.4919,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
67,5056.49,0.8964,0.65304,1.09809,0.83587,0.71684,0.75566,0.43297,1.51411,0.77576,1.48105,0.0243994,0.00813314,0.0243994,0.00813314,0.0243994,0.00813314,0.0243994,0.00813314
68,5131.19,0.89354,0.64032,1.09385,0.88182,0.71257,0.76678,0.41612,1.5889,0.79304,1.54697,0.0243146,0.00810486,0.0243146,0.00810486,0.0243146,0.00810486,0.0243146,0.00810486
69,5205.7,0.88963,0.64156,1.09191,0.87301,0.68873,0.74435,0.42405,1.58373,0.79953,1.54847,0.0242297,0.00807657,0.0242297,0.00807657,0.0242297,0.00807657,0.0242297,0.00807657
